LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MIN,WS2M_MAX
31.5,27.5,2022,14,8.91,13.69,14.12,13.32,2.04,71.12,7.11,6.44,7.42
31.5,32.5,2022,14,10.61,15.7,16.16,14.92,2.55,72.03,7.64,6.65,8.41
23.5,27.5,2022,15,18.18,9.37,16.35,3.91,0.0,62.99,3.29,2.23,4.31
23.5,32.5,2022,15,17.95,12.79,19.71,7.88,0.0,48.1,3.95,2.52,5.55
24.5,27.5,2022,15,17.72,7.95,14.55,2.78,0.03,68.92,3.21,1.81,5.34
24.5,32.5,2022,15,17.85,10.94,18.42,5.62,0.0,52.57,3.59,2.14,5.19
25.5,27.5,2022,15,17.27,7.81,14.28,2.85,1.05,67.53,3.13,1.47,5.82
25.5,32.5,2022,15,17.1,9.84,17.21,4.1,0.0,57.96,3.32,2.02,5.46
26.5,27.5,2022,15,17.02,7.65,14.22,2.95,0.14,64.96,3.08,1.49,5.88
26.5,32.5,2022,15,17.0,8.77,15.85,3.57,0.0,59.11,3.15,1.78,5.6
27.5,27.5,2022,15,15.96,6.88,12.93,2.2,0.0,68.3,3.01,1.71,5.68
27.5,32.5,2022,15,16.54,6.5,12.85,1.7,0.0,64.39,3.45,1.92,6.06
28.5,27.5,2022,15,15.96,7.14,12.87,2.24,0.01,70.88,2.65,1.3,4.56
28.5,32.5,2022,15,14.32,6.31,12.49,1.86,0.01,68.41,3.45,2.03,5.76
29.5,27.5,2022,15,14.31,9.04,15.97,3.02,0.03,69.67,2.35,1.58,3.84
29.5,32.5,2022,15,12.63,10.77,14.87,7.57,0.03,67.32,4.16,3.13,5.74
30.5,27.5,2022,15,13.34,9.08,14.39,4.67,0.62,73.79,3.31,2.06,4.78
30.5,32.5,2022,15,9.46,10.28,15.6,5.87,2.39,69.74,3.83,2.21,6.11
31.5,27.5,2022,15,9.85,14.45,15.23,13.31,1.55,66.43,5.75,5.14,6.34
31.5,32.5,2022,15,9.11,15.29,16.25,14.29,14.79,74.21,7.55,6.71,8.54
23.5,27.5,2022,16,18.53,7.24,14.07,1.52,0.0,53.21,3.74,2.52,5.43
23.5,32.5,2022,16,18.58,10.84,17.78,5.43,0.0,43.82,3.43,2.52,5.25
