-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
28.5,30.5,2024,6,14.24
28.5,31.5,2024,6,14.97
28.5,32.5,2024,6,15.2
28.5,33.5,2024,6,15.1
29.5,26.5,2024,6,13.27
29.5,27.5,2024,6,13.45
29.5,28.5,2024,6,13.01
29.5,29.5,2024,6,13.67
29.5,30.5,2024,6,13.45
29.5,31.5,2024,6,14.24
29.5,32.5,2024,6,14.39
29.5,33.5,2024,6,14.96
30.5,26.5,2024,6,13.32
30.5,27.5,2024,6,12.89
30.5,28.5,2024,6,12.05
30.5,29.5,2024,6,12.65
30.5,30.5,2024,6,13.09
30.5,31.5,2024,6,13.47
30.5,32.5,2024,6,13.66
30.5,33.5,2024,6,14.13
31.5,26.5,2024,6,12.18
31.5,27.5,2024,6,11.47
31.5,28.5,2024,6,11.27
31.5,29.5,2024,6,11.27
31.5,30.5,2024,6,11.98
31.5,31.5,2024,6,11.47
31.5,32.5,2024,6,11.79
31.5,33.5,2024,6,12.42
23.5,26.5,2024,7,18.39
23.5,27.5,2024,7,17.99
23.5,28.5,2024,7,17.93
23.5,29.5,2024,7,17.71
23.5,30.5,2024,7,17.49
23.5,31.5,2024,7,17.53
23.5,32.5,2024,7,17.38
23.5,33.5,2024,7,17.45
24.5,26.5,2024,7,17.9
24.5,27.5,2024,7,17.36
24.5,28.5,2024,7,17.14
24.5,29.5,2024,7,17.1
24.5,30.5,2024,7,17.21
24.5,31.5,2024,7,17.11
24.5,32.5,2024,7,17.01
24.5,33.5,2024,7,16.97
25.5,26.5,2024,7,17.0
25.5,27.5,2024,7,16.85
25.5,28.5,2024,7,16.69
25.5,29.5,2024,7,16.68
25.5,30.5,2024,7,16.6
25.5,31.5,2024,7,16.61
25.5,32.5,2024,7,16.18
25.5,33.5,2024,7,16.56
26.5,26.5,2024,7,16.42
26.5,27.5,2024,7,16.35
26.5,28.5,2024,7,16.34
26.5,29.5,2024,7,16.18
26.5,30.5,2024,7,15.62
26.5,31.5,2024,7,15.91
26.5,32.5,2024,7,15.88
26.5,33.5,2024,7,16.0
27.5,26.5,2024,7,14.97
27.5,27.5,2024,7,15.73
27.5,28.5,2024,7,15.02
27.5,29.5,2024,7,15.5
27.5,30.5,2024,7,15.39
27.5,31.5,2024,7,15.74
27.5,32.5,2024,7,15.84
27.5,33.5,2024,7,15.01
28.5,26.5,2024,7,15.11
28.5,27.5,2024,7,15.12
28.5,28.5,2024,7,15.15
