-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
26.5,29.5,2022,5,15.91
26.5,30.5,2022,5,16.22
26.5,31.5,2022,5,16.38
26.5,32.5,2022,5,16.34
26.5,33.5,2022,5,16.48
27.5,25.5,2022,5,15.26
27.5,26.5,2022,5,15.14
27.5,27.5,2022,5,15.51
27.5,28.5,2022,5,15.85
27.5,29.5,2022,5,14.77
27.5,30.5,2022,5,15.46
27.5,31.5,2022,5,16.02
27.5,32.5,2022,5,16.13
27.5,33.5,2022,5,15.91
28.5,25.5,2022,5,15.34
28.5,26.5,2022,5,14.81
28.5,27.5,2022,5,15.32
28.5,28.5,2022,5,15.34
28.5,29.5,2022,5,15.0
28.5,30.5,2022,5,14.83
28.5,31.5,2022,5,15.56
28.5,32.5,2022,5,15.43
28.5,33.5,2022,5,15.67
29.5,25.5,2022,5,14.14
29.5,26.5,2022,5,13.81
29.5,27.5,2022,5,14.54
29.5,28.5,2022,5,14.24
29.5,29.5,2022,5,14.53
29.5,30.5,2022,5,14.4
29.5,31.5,2022,5,14.58
29.5,32.5,2022,5,14.55
29.5,33.5,2022,5,15.14
30.5,25.5,2022,5,12.68
30.5,26.5,2022,5,13.17
30.5,27.5,2022,5,13.2
30.5,28.5,2022,5,14.03
30.5,29.5,2022,5,13.97
30.5,30.5,2022,5,13.96
30.5,31.5,2022,5,13.56
30.5,32.5,2022,5,13.54
30.5,33.5,2022,5,13.66
31.5,25.5,2022,5,8.6
31.5,26.5,2022,5,8.24
31.5,27.5,2022,5,11.22
31.5,28.5,2022,5,11.57
